Random Generator,bet,02-2010,04-2010,06-2010,08-2010,10-2010,12-2010,02-2011,04-2011,06-2011,08-2011,10-2011,12-2011,02-2012,04-2012,06-2012,08-2012,10-2012,12-2012,02-2013,04-2013,06-2013,08-2013,10-2013,12-2013,02-2014,04-2014,06-2014,08-2014,10-2014,12-2014,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
9194,0.109953052428318,0.384297520661157,0.3598326359832636,0.3416666666666667,0.3089430894308943,0.2931726907630522,0.2908366533864542,0.26,0.233201581027668,0.20553359683794467,0.20238095238095238,0.19291338582677164,0.15953307392996108,0.13953488372093023,0.10714285714285714,0.09126984126984126,0.06374501992031872,0.07509881422924901,0.07480314960629922,0.07509881422924901,0.078125,0.07058823529411765,0.07058823529411765,0.047058823529411764,0.03968253968253968,0.023715415019762844,0.027559055118110236,0.01968503937007874,0.023622047244094488,0.032,0.024096385542168676,0.0321285140562249,0.032388663967611336,0.028,0.03557312252964427,0.036,0.02766798418972332,0.019762845849802372,0.015810276679841896,0.011811023622047244,0.011538461538461539,0.01568627450980392,0.011627906976744186,0.007662835249042145,0.011673151750972763,0.01556420233463035,0.01953125,0.02,0.01968503937007874,0.02390438247011952,0.019762845849802372,0.027559055118110236,0.03162055335968379,0.03643724696356275,0.03614457831325301,0.02766798418972332,0.043478260869565216,0.050387596899224806,0.05725190839694656,0.05343511450381679,0.052830188679245285
7987,0.18079283947590696,0.41702127659574467,0.4025974025974026,0.3922413793103448,0.41379310344827586,0.37339055793991416,0.3565217391304348,0.33476394849785407,0.2905982905982906,0.27350427350427353,0.22807017543859648,0.22943722943722944,0.2127659574468085,0.2163265306122449,0.18518518518518517,0.18181818181818182,0.18106995884773663,0.19183673469387755,0.2074688796680498,0.18672199170124482,0.1598360655737705,0.1593625498007968,0.11244979919678715,0.10931174089068826,0.11740890688259109,0.10569105691056911,0.09803921568627451,0.0873015873015873,0.09615384615384616,0.1450381679389313,0.1553030303030303,0.1520912547528517,0.1532567049808429,0.0946969696969697,0.10727969348659004,0.1,0.09266409266409266,0.07224334600760456,0.06177606177606178,0.056818181818181816,0.05639097744360902,0.045454545454545456,0.045112781954887216,0.04980842911877394,0.06766917293233082,0.06390977443609022,0.06985294117647059,0.08148148148148149,0.07462686567164178,0.06367041198501873,0.056818181818181816,0.045112781954887216,0.03007518796992481,0.03717472118959108,0.029850746268656716,0.030418250950570342,0.026415094339622643,0.022556390977443608,0.01486988847583643,0.014925373134328358,0.014760147601476014
9218,0.09856186650577001,0.2096069868995633,0.2149122807017544,0.2345132743362832,0.23214285714285715,0.1981981981981982,0.18018018018018017,0.17857142857142858,0.16216216216216217,0.13636363636363635,0.12727272727272726,0.11312217194570136,0.10267857142857142,0.09333333333333334,0.08771929824561403,0.06465517241379311,0.060085836909871244,0.058823529411764705,0.058577405857740586,0.04149377593360996,0.028925619834710745,0.02459016393442623,0.024691358024691357,0.02066115702479339,0.0125,0.008438818565400843,0.008403361344537815,0.008695652173913044,0.013157894736842105,0.008658008658008658,0.008733624454148471,0.013100436681222707,0.008695652173913044,0.01276595744680851,0.01276595744680851,0.012711864406779662,0.008547008547008548,0.008547008547008548,0.004347826086956522,0.004329004329004329,0.004329004329004329,0.0,0.0,0.0041841004184100415,0.004098360655737705,0.008403361344537815,0.0125,0.016666666666666666,0.020161290322580645,0.020242914979757085,0.024193548387096774,0.024193548387096774,0.024,0.019762845849802372,0.015503875968992248,0.018867924528301886,0.011278195488721804,0.015151515151515152,0.026615969581749048,0.03435114503816794,0.03802281368821293
3887,0.162428093823837,0.4067796610169492,0.3487394957983193,0.3278008298755187,0.32510288065843623,0.2875,0.288135593220339,0.2606837606837607,0.23376623376623376,0.22127659574468084,0.1864406779661017,0.1721311475409836,0.1646090534979424,0.14344262295081966,0.13877551020408163,0.11023622047244094,0.10116731517509728,0.07905138339920949,0.0784313725490196,0.08461538461538462,0.07279693486590039,0.07954545454545454,0.07169811320754717,0.07547169811320754,0.08239700374531835,0.08812260536398467,0.09923664122137404,0.08949416342412451,0.08846153846153847,0.07307692307692308,0.06177606177606178,0.05384615384615385,0.034482758620689655,0.03515625,0.047058823529411764,0.058823529411764705,0.07364341085271318,0.08076923076923077,0.09266409266409266,0.09541984732824428,0.11406844106463879,0.11196911196911197,0.11153846153846154,0.0916030534351145,0.09266409266409266,0.109375,0.11923076923076924,0.12643678160919541,0.10196078431372549,0.11067193675889328,0.10080645161290322,0.1067193675889328,0.10588235294117647,0.1225296442687747,0.14682539682539683,0.16731517509727625,0.15708812260536398,0.1583011583011583,0.17647058823529413,0.17647058823529413,0.16988416988416988
209,0.17313908668584196,0.3673469387755102,0.3629032258064516,0.37142857142857144,0.39759036144578314,0.42570281124497994,0.42276422764227645,0.3551020408163265,0.3333333333333333,0.275,0.20901639344262296,0.16942148760330578,0.14754098360655737,0.10743801652892562,0.10970464135021098,0.11392405063291139,0.10638297872340426,0.10638297872340426,0.1276595744680851,0.10683760683760683,0.1111111111111111,0.09090909090909091,0.06808510638297872,0.07234042553191489,0.06666666666666667,0.07053941908713693,0.05220883534136546,0.04838709677419355,0.048582995951417005,0.04417670682730924,0.052845528455284556,0.055776892430278883,0.052,0.0392156862745098,0.027131782945736434,0.023346303501945526,0.027559055118110236,0.023715415019762844,0.023809523809523808,0.015810276679841896,0.01937984496124031,0.031496062992125984,0.043137254901960784,0.04296875,0.0392156862745098,0.03088803088803089,0.027237354085603113,0.03137254901960784,0.046153846153846156,0.05660377358490566,0.06130268199233716,0.05405405405405406,0.06177606177606178,0.061068702290076333,0.05660377358490566,0.056179775280898875,0.07116104868913857,0.0708955223880597,0.08088235294117647,0.1,0.12
1229,0.0989982732979115,0.17012448132780084,0.16317991631799164,0.20425531914893616,0.26141078838174275,0.3025210084033613,0.30991735537190085,0.2809917355371901,0.24380165289256198,0.23045267489711935,0.17857142857142858,0.17063492063492064,0.1422924901185771,0.1349206349206349,0.11155378486055777,0.09163346613545817,0.07480314960629922,0.06274509803921569,0.07569721115537849,0.06299212598425197,0.05179282868525897,0.043824701195219126,0.0398406374501992,0.04365079365079365,0.05533596837944664,0.04,0.027777777777777776,0.024,0.011857707509881422,0.003952569169960474,0.003952569169960474,0.0,0.0,0.0,0.004,0.0,0.00411522633744856,0.012345679012345678,0.01646090534979424,0.012711864406779662,0.012552301255230125,0.012295081967213115,0.01639344262295082,0.012195121951219513,0.00816326530612245,0.012195121951219513,0.016260162601626018,0.02390438247011952,0.03529411764705882,0.031007751937984496,0.03125,0.03515625,0.04296875,0.05078125,0.050980392156862744,0.04633204633204633,0.046153846153846156,0.03488372093023256,0.04263565891472868,0.04330708661417323,0.03937007874015748
4046,0.16063882132293697,0.3246753246753247,0.3577586206896552,0.36,0.336322869955157,0.3141592920353982,0.2719298245614035,0.23504273504273504,0.22916666666666666,0.2024793388429752,0.144,0.1541501976284585,0.16602316602316602,0.14671814671814673,0.140625,0.14007782101167315,0.138996138996139,0.13257575757575757,0.1183206106870229,0.12840466926070038,0.1274131274131274,0.12692307692307692,0.13618677042801555,0.1383399209486166,0.13725490196078433,0.15079365079365079,0.15040650406504066,0.144,0.13654618473895583,0.1422924901185771,0.13043478260869565,0.12890625,0.09019607843137255,0.10116731517509728,0.10266159695817491,0.12781954887218044,0.11524163568773234,0.1213235294117647,0.125,0.11956521739130435,0.11721611721611722,0.13333333333333333,0.13138686131386862,0.11481481481481481,0.11439114391143912,0.10989010989010989,0.09454545454545454,0.10869565217391304,0.10218978102189781,0.0989010989010989,0.10294117647058823,0.08955223880597014,0.09811320754716982,0.11363636363636363,0.12686567164179105,0.11567164179104478,0.12639405204460966,0.11851851851851852,0.11481481481481481,0.11481481481481481,0.09328358208955224
8194,0.0951294989557937,0.2489451476793249,0.25327510917030566,0.23893805309734514,0.23318385650224216,0.242152466367713,0.2222222222222222,0.20982142857142858,0.17567567567567569,0.14601769911504425,0.14414414414414414,0.0881057268722467,0.09821428571428571,0.07174887892376682,0.0611353711790393,0.048034934497816595,0.05333333333333334,0.04035874439461883,0.04,0.03571428571428571,0.030837004405286344,0.03056768558951965,0.01762114537444934,0.013157894736842105,0.008695652173913044,0.004405286343612335,0.0043859649122807015,0.004310344827586207,0.00425531914893617,0.004310344827586207,0.004291845493562232,0.004329004329004329,0.004329004329004329,0.00423728813559322,0.00847457627118644,0.00851063829787234,0.004201680672268907,0.004132231404958678,0.004149377593360996,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.00423728813559322,0.0,0.004310344827586207,0.004310344827586207,0.013157894736842105,0.022222222222222223,0.03225806451612903,0.03125,0.034782608695652174,0.04329004329004329,0.04721030042918455,0.0502092050209205,0.0371900826446281,0.036585365853658534
3304,0.20732502110186,0.510548523206751,0.4978540772532189,0.47186147186147187,0.4472573839662447,0.451063829787234,0.45188284518828453,0.41735537190082644,0.34146341463414637,0.316,0.284,0.26,0.24206349206349206,0.20481927710843373,0.16326530612244897,0.1346938775510204,0.15546218487394958,0.15833333333333333,0.17012448132780084,0.19183673469387755,0.18548387096774194,0.14634146341463414,0.14342629482071714,0.132,0.12749003984063745,0.128,0.11857707509881422,0.10714285714285714,0.0967741935483871,0.09090909090909091,0.0992063492063492,0.09019607843137255,0.08812260536398467,0.11406844106463879,0.11538461538461539,0.1183206106870229,0.12878787878787878,0.13533834586466165,0.1320754716981132,0.1412639405204461,0.11870503597122302,0.148014440433213,0.18118466898954705,0.18900343642611683,0.1896551724137931,0.20701754385964913,0.20212765957446807,0.20905923344947736,0.2508833922261484,0.24113475177304963,0.22857142857142856,0.21505376344086022,0.20921985815602837,0.22695035460992907,0.2596491228070175,0.2597864768683274,0.2526690391459075,0.24734982332155478,0.25524475524475526,0.24295774647887325,0.24738675958188153
538,0.148669689241797,0.4248927038626609,0.45414847161572053,0.43612334801762115,0.44493392070484583,0.4517543859649123,0.4192139737991266,0.42857142857142855,0.39111111111111113,0.3056768558951965,0.23605150214592274,0.22362869198312235,0.16956521739130434,0.12875536480686695,0.09012875536480687,0.07692307692307693,0.0815450643776824,0.0815450643776824,0.0944206008583691,0.0782608695652174,0.0735930735930736,0.07659574468085106,0.0641025641025641,0.06060606060606061,0.0611353711790393,0.039301310043668124,0.03508771929824561,0.05333333333333334,0.05701754385964912,0.05627705627705628,0.060085836909871244,0.046610169491525424,0.0425531914893617,0.029288702928870293,0.02100840336134454,0.03361344537815126,0.04219409282700422,0.05394190871369295,0.06995884773662552,0.08264462809917356,0.09583333333333334,0.1,0.1125,0.12033195020746888,0.1125,0.11065573770491803,0.12598425196850394,0.11583011583011583,0.1297709923664122,0.13358778625954199,0.12015503875968993,0.11673151750972763,0.12307692307692308,0.12927756653992395,0.14285714285714285,0.13409961685823754,0.11363636363636363,0.10227272727272728,0.11808118081180811,0.1259259259259259,0.12030075187969924
