Random Generator,bet,02-2006,04-2006,06-2006,08-2006,10-2006,12-2006,02-2007,04-2007,06-2007,08-2007,10-2007,12-2007,02-2008,04-2008,06-2008,08-2008,10-2008,12-2008,02-2009,04-2009,06-2009,08-2009,10-2009,12-2009,02-2010,04-2010,06-2010,08-2010,10-2010,12-2010,02-2011,04-2011,06-2011,08-2011,10-2011,12-2011,02-2012,04-2012,06-2012,08-2012,10-2012,12-2012,02-2013,04-2013,06-2013,08-2013,10-2013,12-2013,02-2014,04-2014,06-2014,08-2014,10-2014,12-2014,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
6884,0.0962890623079147,0.30434782608695654,0.26200873362445415,0.25892857142857145,0.2743362831858407,0.29385964912280704,0.2875536480686695,0.27705627705627706,0.2807017543859649,0.2565217391304348,0.24034334763948498,0.23605150214592274,0.20087336244541484,0.1908713692946058,0.1652892561983471,0.17094017094017094,0.12658227848101267,0.13445378151260504,0.12605042016806722,0.11666666666666667,0.10084033613445378,0.08333333333333333,0.07916666666666666,0.08368200836820083,0.06694560669456066,0.0502092050209205,0.05179282868525897,0.024,0.02,0.012195121951219513,0.008064516129032258,0.004016064257028112,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.008298755186721992,0.00816326530612245,0.012195121951219513,0.016194331983805668,0.0163265306122449,0.016260162601626018,0.015873015873015872,0.008032128514056224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.004032258064516129,0.004032258064516129,0.004048582995951417,0.004016064257028112,0.004,0.007936507936507936,0.012048192771084338,0.007936507936507936,0.008,0.016129032258064516,0.02390438247011952,0.02092050209205021,0.02127659574468085,0.020833333333333332,0.016877637130801686,0.03319502074688797,0.036585365853658534,0.03571428571428571,0.04,0.04032258064516129,0.043824701195219126,0.05241935483870968,0.068,0.048582995951417005,0.04583333333333333,0.04564315352697095,0.0502092050209205,0.046218487394957986
7781,0.149032924044877,0.4534412955465587,0.42276422764227645,0.344,0.3346456692913386,0.29343629343629346,0.28185328185328185,0.2593984962406015,0.24535315985130113,0.20149253731343283,0.19402985074626866,0.1865671641791045,0.18867924528301888,0.15267175572519084,0.12156862745098039,0.11284046692607004,0.11462450592885376,0.116,0.10317460317460317,0.099601593625498,0.06374501992031872,0.056451612903225805,0.06324110671936758,0.07692307692307693,0.09836065573770492,0.09876543209876543,0.08906882591093117,0.06772908366533864,0.05263157894736842,0.04819277108433735,0.040160642570281124,0.036,0.032388663967611336,0.024291497975708502,0.0163265306122449,0.01652892561983471,0.01639344262295082,0.01680672268907563,0.01680672268907563,0.01282051282051282,0.012552301255230125,0.012658227848101266,0.012448132780082987,0.012244897959183673,0.012145748987854251,0.012145748987854251,0.0163265306122449,0.020161290322580645,0.048,0.05533596837944664,0.05928853754940711,0.06719367588932806,0.07392996108949416,0.07058823529411765,0.07450980392156863,0.0694980694980695,0.06870229007633588,0.07604562737642585,0.07633587786259542,0.07782101167315175,0.07509881422924901,0.0796812749003984,0.07851239669421488,0.0875,0.07755102040816327,0.08333333333333333,0.09561752988047809,0.11023622047244094,0.11328125,0.12015503875968993,0.12307692307692308,0.11406844106463879,0.12075471698113208,0.12075471698113208,0.1111111111111111,0.0898876404494382,0.0898876404494382,0.08208955223880597,0.06985294117647059,0.04428044280442804,0.02973977695167286,0.026415094339622643,0.03065134099616858,0.034482758620689655,0.057692307692307696
9221,0.15031790194916503,0.34615384615384615,0.3755274261603376,0.3648068669527897,0.3717948717948718,0.36401673640167365,0.3755274261603376,0.32905982905982906,0.2803347280334728,0.22406639004149378,0.18907563025210083,0.15833333333333333,0.13445378151260504,0.0995850622406639,0.08403361344537816,0.08368200836820083,0.07112970711297072,0.04979253112033195,0.05394190871369295,0.05,0.049586776859504134,0.04081632653061224,0.06147540983606557,0.07755102040816327,0.07661290322580645,0.08835341365461848,0.08764940239043825,0.07114624505928854,0.056451612903225805,0.03968253968253968,0.02734375,0.01968503937007874,0.02,0.01195219123505976,0.01652892561983471,0.0163265306122449,0.008298755186721992,0.00823045267489712,0.008264462809917356,0.00411522633744856,0.004149377593360996,0.0040650406504065045,0.003952569169960474,0.00392156862745098,0.0,0.0,0.0,0.007782101167315175,0.0196078431372549,0.024193548387096774,0.024,0.032520325203252036,0.04878048780487805,0.061224489795918366,0.08032128514056225,0.088,0.09561752988047809,0.10931174089068826,0.11693548387096774,0.11740890688259109,0.12295081967213115,0.10526315789473684,0.10483870967741936,0.08835341365461848,0.09163346613545817,0.1111111111111111,0.124,0.1225296442687747,0.11764705882352941,0.1225296442687747,0.10843373493975904,0.116,0.11372549019607843,0.08661417322834646,0.09163346613545817,0.07114624505928854,0.09090909090909091,0.09727626459143969,0.1124031007751938,0.09765625,0.08835341365461848,0.07661290322580645,0.06,0.058365758754863814,0.058823529411764705
3784,0.20516190293128603,0.48031496062992124,0.5059760956175299,0.545816733067729,0.5433070866141733,0.5387596899224806,0.524904214559387,0.45977011494252873,0.3484848484848485,0.3295880149812734,0.3382899628252788,0.2883895131086142,0.3269961977186312,0.2889733840304182,0.2490272373540856,0.1821705426356589,0.1450980392156863,0.14007782101167315,0.18532818532818532,0.21673003802281368,0.2099236641221374,0.24242424242424243,0.23507462686567165,0.23985239852398524,0.2339622641509434,0.2,0.1724137931034483,0.1583011583011583,0.13147410358565736,0.10843373493975904,0.08502024291497975,0.06172839506172839,0.04583333333333333,0.029661016949152543,0.04219409282700422,0.07264957264957266,0.07456140350877193,0.07792207792207792,0.0735930735930736,0.06751054852320675,0.046413502109704644,0.03404255319148936,0.01694915254237288,0.004149377593360996,0.00411522633744856,0.0040650406504065045,0.0,0.0,0.0,0.0,0.011811023622047244,0.011538461538461539,0.019157088122605363,0.02734375,0.0625,0.0703125,0.07142857142857142,0.0796812749003984,0.08267716535433071,0.07569721115537849,0.08366533864541832,0.06719367588932806,0.0546875,0.05138339920948617,0.046511627906976744,0.027559055118110236,0.023076923076923078,0.022641509433962263,0.0149812734082397,0.01486988847583643,0.014925373134328358,0.011111111111111112,0.014545454545454545,0.021505376344086023,0.022058823529411766,0.025830258302583026,0.0364963503649635,0.04428044280442804,0.06716417910447761,0.06818181818181818,0.07865168539325842,0.09328358208955224,0.0989010989010989,0.1039426523297491,0.1099290780141844
2005,0.19020637388457498,0.32974910394265233,0.33935018050541516,0.3804347826086957,0.41007194244604317,0.48226950354609927,0.49823321554770317,0.4377224199288256,0.3464285714285714,0.24555160142348753,0.20350877192982456,0.17192982456140352,0.13380281690140844,0.11929824561403508,0.0711743772241993,0.04363636363636364,0.04411764705882353,0.0449438202247191,0.04460966542750929,0.04119850187265917,0.03745318352059925,0.05343511450381679,0.06818181818181818,0.07604562737642585,0.09505703422053231,0.10038610038610038,0.10588235294117647,0.10588235294117647,0.09523809523809523,0.11244979919678715,0.10699588477366255,0.12033195020746888,0.1092436974789916,0.0970464135021097,0.0970464135021097,0.08786610878661087,0.0995850622406639,0.0954356846473029,0.09876543209876543,0.1,0.09623430962343096,0.10084033613445378,0.10833333333333334,0.10330578512396695,0.0995850622406639,0.07883817427385892,0.1115702479338843,0.12096774193548387,0.1440329218106996,0.16182572614107885,0.16806722689075632,0.1729957805907173,0.17316017316017315,0.19913419913419914,0.225531914893617,0.23478260869565218,0.23504273504273504,0.24369747899159663,0.24152542372881355,0.2446351931330472,0.22317596566523606,0.2170212765957447,0.19831223628691982,0.17012448132780084,0.1875,0.21338912133891214,0.2708333333333333,0.29218106995884774,0.2782258064516129,0.296,0.3125,0.31007751937984496,0.33204633204633205,0.31297709923664124,0.29277566539923955,0.29277566539923955,0.2585551330798479,0.2537878787878788,0.25757575757575757,0.23773584905660378,0.20300751879699247,0.1647940074906367,0.17279411764705882,0.19852941176470587,0.21660649819494585
5869,0.21138460226939101,0.35807860262008734,0.36324786324786323,0.34763948497854075,0.39655172413793105,0.38626609442060084,0.3983050847457627,0.34334763948497854,0.24050632911392406,0.21487603305785125,0.23170731707317074,0.24897959183673468,0.24180327868852458,0.22267206477732793,0.196,0.15019762845849802,0.1732283464566929,0.17786561264822134,0.17578125,0.15953307392996108,0.14785992217898833,0.12015503875968993,0.1220472440944882,0.11553784860557768,0.09881422924901186,0.08764940239043825,0.072,0.10980392156862745,0.12156862745098039,0.15891472868217055,0.2178988326848249,0.23166023166023167,0.22393822393822393,0.23461538461538461,0.2125984251968504,0.21484375,0.20622568093385213,0.1821705426356589,0.18359375,0.1875,0.18773946360153257,0.25,0.2894736842105263,0.30798479087452474,0.3333333333333333,0.3346153846153846,0.3436293436293436,0.35546875,0.4,0.375968992248062,0.36186770428015563,0.37109375,0.38372093023255816,0.38996138996138996,0.40370370370370373,0.41263940520446096,0.4175824175824176,0.4065934065934066,0.36162361623616235,0.358695652173913,0.36231884057971014,0.3553113553113553,0.32967032967032966,0.34296028880866425,0.35294117647058826,0.3709090909090909,0.4218181818181818,0.39636363636363636,0.33707865168539325,0.3233082706766917,0.2830188679245283,0.2518796992481203,0.22180451127819548,0.22878228782287824,0.1962962962962963,0.17582417582417584,0.15384615384615385,0.1366906474820144,0.11827956989247312,0.1111111111111111,0.0880281690140845,0.08304498269896193,0.0859106529209622,0.07534246575342465,0.11986301369863013
4036,0.155125458573457,0.4700854700854701,0.44871794871794873,0.4260869565217391,0.3872340425531915,0.3416666666666667,0.2916666666666667,0.25416666666666665,0.2033195020746888,0.17355371900826447,0.12295081967213115,0.09561752988047809,0.06324110671936758,0.04,0.024,0.024193548387096774,0.00823045267489712,0.01680672268907563,0.02066115702479339,0.024691358024691357,0.024793388429752067,0.02066115702479339,0.028225806451612902,0.024193548387096774,0.032,0.02880658436213992,0.03319502074688797,0.03765690376569038,0.03734439834024896,0.0502092050209205,0.06382978723404255,0.07563025210084033,0.07142857142857142,0.0743801652892562,0.08264462809917356,0.0823045267489712,0.0778688524590164,0.0860655737704918,0.09016393442622951,0.06224066390041494,0.07083333333333333,0.07377049180327869,0.06451612903225806,0.05241935483870968,0.048582995951417005,0.040160642570281124,0.04,0.035856573705179286,0.05241935483870968,0.0642570281124498,0.0778688524590164,0.075,0.0778688524590164,0.0846774193548387,0.07905138339920949,0.078125,0.08139534883720931,0.07751937984496124,0.09195402298850575,0.0933852140077821,0.0859375,0.07421875,0.050387596899224806,0.052830188679245285,0.04182509505703422,0.03759398496240601,0.04580152671755725,0.05058365758754864,0.057034220532319393,0.05970149253731343,0.07380073800738007,0.09608540925266904,0.11228070175438597,0.11971830985915492,0.11827956989247312,0.12455516014234876,0.1267605633802817,0.12014134275618374,0.11785714285714285,0.1347517730496454,0.1258741258741259,0.11262798634812286,0.10884353741496598,0.10033444816053512,0.10033444816053512
4644,0.10148595276987199,0.2692307692307692,0.2831858407079646,0.25339366515837103,0.2311111111111111,0.2290748898678414,0.23684210526315788,0.2052401746724891,0.17903930131004367,0.1615720524017467,0.15948275862068967,0.15584415584415584,0.1483050847457627,0.0970464135021097,0.0811965811965812,0.07792207792207792,0.07423580786026202,0.09210526315789473,0.07659574468085106,0.06694560669456066,0.05761316872427984,0.053061224489795916,0.05668016194331984,0.052845528455284556,0.052845528455284556,0.06172839506172839,0.07258064516129033,0.08906882591093117,0.07692307692307693,0.06854838709677419,0.056,0.0398406374501992,0.028112449799196786,0.024390243902439025,0.02032520325203252,0.028,0.03614457831325301,0.03643724696356275,0.03319502074688797,0.029411764705882353,0.037815126050420166,0.038135593220338986,0.02531645569620253,0.025210084033613446,0.012605042016806723,0.008333333333333333,0.008064516129032258,0.008064516129032258,0.00796812749003984,0.012,0.008032128514056224,0.00398406374501992,0.00796812749003984,0.011904761904761904,0.01556420233463035,0.015503875968992248,0.01953125,0.019455252918287938,0.015503875968992248,0.015625,0.007874015748031496,0.0,0.0,0.0037735849056603774,0.007462686567164179,0.011278195488721804,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.019083969465648856,0.015267175572519083,0.01893939393939394,0.018726591760299626,0.01486988847583643,0.011320754716981131,0.023076923076923078,0.027450980392156862,0.027888446215139442,0.028225806451612902,0.027888446215139442,0.027888446215139442,0.028225806451612902,0.028,0.027888446215139442,0.027888446215139442
8608,0.148787715804065,0.2975206611570248,0.2757201646090535,0.2791666666666667,0.2603305785123967,0.25206611570247933,0.21428571428571427,0.16806722689075632,0.15966386554621848,0.13191489361702127,0.09282700421940929,0.08438818565400844,0.09745762711864407,0.10504201680672269,0.08786610878661087,0.08264462809917356,0.06147540983606557,0.06147540983606557,0.06557377049180328,0.058333333333333334,0.08016877637130802,0.07983193277310924,0.08016877637130802,0.08974358974358974,0.09401709401709402,0.08438818565400844,0.0851063829787234,0.09583333333333334,0.09836065573770492,0.11428571428571428,0.1306122448979592,0.12955465587044535,0.12653061224489795,0.12244897959183673,0.13709677419354838,0.16194331983805668,0.17073170731707318,0.1700404858299595,0.17959183673469387,0.1762295081967213,0.1700404858299595,0.17131474103585656,0.14960629921259844,0.13545816733067728,0.10121457489878542,0.088,0.08695652173913043,0.08171206225680934,0.07086614173228346,0.05813953488372093,0.054901960784313725,0.05179282868525897,0.058823529411764705,0.06451612903225806,0.06854838709677419,0.06827309236947791,0.05905511811023622,0.07228915662650602,0.07114624505928854,0.08333333333333333,0.0796812749003984,0.07905138339920949,0.09019607843137255,0.08627450980392157,0.07722007722007722,0.07874015748031496,0.04743083003952569,0.051181102362204724,0.04669260700389105,0.03501945525291829,0.04296875,0.05138339920948617,0.034482758620689655,0.033962264150943396,0.033962264150943396,0.03018867924528302,0.026119402985074626,0.02181818181818182,0.018315018315018316,0.014492753623188406,0.01098901098901099,0.022058823529411766,0.032846715328467155,0.043795620437956206,0.06884057971014493
9925,0.11595328567200301,0.31512605042016806,0.2911392405063291,0.33047210300429186,0.3246753246753247,0.36160714285714285,0.3463203463203463,0.3231441048034934,0.2576419213973799,0.24017467248908297,0.1939655172413793,0.12446351931330472,0.1282051282051282,0.10460251046025104,0.1125,0.11715481171548117,0.10504201680672269,0.10084033613445378,0.0759493670886076,0.055793991416309016,0.05555555555555555,0.055793991416309016,0.046610169491525424,0.0423728813559322,0.030042918454935622,0.02575107296137339,0.021551724137931036,0.02643171806167401,0.02654867256637168,0.022123893805309734,0.008695652173913044,0.017167381974248927,0.02145922746781116,0.017316017316017316,0.029914529914529916,0.03389830508474576,0.04741379310344827,0.05128205128205128,0.05172413793103448,0.060085836909871244,0.046610169491525424,0.039301310043668124,0.03862660944206009,0.04201680672268908,0.029045643153526972,0.03292181069958848,0.029411764705882353,0.02109704641350211,0.017167381974248927,0.013043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004424778761061947,0.004484304932735426,0.013215859030837005,0.013513513513513514,0.013392857142857142,0.017699115044247787,0.01762114537444934,0.01809954751131222,0.022321428571428572,0.039473684210526314,0.04888888888888889,0.04035874439461883,0.04405286343612335,0.05240174672489083,0.05263157894736842,0.043478260869565216,0.04291845493562232,0.04291845493562232,0.04291845493562232,0.03017241379310345,0.021367521367521368,0.01694915254237288,0.02127659574468085,0.024896265560165973,0.037037037037037035,0.04,0.044715447154471545
