"IUID","Endemicity","Prev_Year2012","Prev_Year2013","Prev_Year2014","Prev_Year2015","Prev_Year2016","Prev_Year2017","Prev_Year2018","Lower_Bound_Year2012","Lower_Bound_Year2013","Lower_Bound_Year2014","Lower_Bound_Year2015","Lower_Bound_Year2016","Lower_Bound_Year2017","Lower_Bound_Year2018","Upper_Bound_Year2012","Upper_Bound_Year2013","Upper_Bound_Year2014","Upper_Bound_Year2015","Upper_Bound_Year2016","Upper_Bound_Year2017","Upper_Bound_Year2018"
"TZA46493","NA",0.0897199396277042,0.088421444527178,0.0857142857142857,0.0845070422535211,0.0851106639839034,0.0892476176930735,0.0849364479560289,0.0393237841439041,0.0460160734787601,0.0414473684210526,0.0329490181949198,0.0335853976531943,0.0285311871227364,0.0302139037433155,0.153846153846154,0.136616161616162,0.160393442622951,0.154175824175824,0.154910714285714,0.164901960784314,0.166666666666667
"ETH19044","NA",0.0909964518036665,0.0909090909090909,0.0909090909090909,0.0857142857142857,0.0923076923076923,0.0941176470588235,0.0872282608695652,0.0555555555555556,0.0594456289978678,0.0505696202531646,0.0499180327868853,0.0512820512820513,0.0468028846153846,0.0444117647058824,0.134481707317073,0.12660010697094,0.132691742580076,0.144636610959969,0.143064182194617,0.152884615384615,0.154778672032193
"ETH18630","NA",0.0714285714285714,0.0610722610722611,0.0641025641025641,0.0684931506849315,0.0675675675675676,0.0657894736842105,0.0684931506849315,0.0136986301369863,0.0146638655462185,0.0134954954954955,0.012970362970363,0.0124845679012346,0.0122605363984674,0.0120338496844521,0.133414634146341,0.128241758241758,0.131110154905336,0.138888888888889,0.140878210439105,0.152341137123746,0.146705882352941
"ETH18961","NA",0.0949163449163449,0.0881944444444444,0.0896479142747799,0.088732163359029,0.0939338235294118,0.0952380952380952,0.09000900090009,0.0310235507246377,0.0326827998959147,0.0263157894736842,0.0281298904538341,0.0247988505747126,0.024390243902439,0.0232492469879518,0.197399020807834,0.174642857142857,0.17972027972028,0.170524822695035,0.181818181818182,0.189873417721519,0.188814749780509
"ETH19039","NA",0.069933489827856,0.0704225352112676,0.0643093465674111,0.0666785206258891,0.060153776571687,0.068968797564688,0.0684931506849315,0.0124845679012346,0.0119927987813322,0.0129541344731218,0.0118378812199037,0.011890756302521,0,0.0126269729645257,0.137984084880637,0.13270994425463,0.144969040247678,0.144636610959969,0.154086538461538,0.153846153846154,0.160129032258065
"ETH18533","NA",0.0686675047140163,0.0571428571428571,0.0672316384180791,0.061633428300095,0.0583972719522592,0.0636968516715352,0.0625097671511174,0.0140649452269171,0.012987012987013,0.012987012987013,0.012987012987013,0.0124845679012346,0.0126582278481013,0.0131408065618592,0.140625,0.13021645021645,0.144755911517925,0.141208791208791,0.144893209200438,0.148258706467662,0.155021035302725
"NGA36446","NA",0.0151515151515152,0.0145993179880648,0.0151515151515152,0.0150384441429218,0.0145993179880648,0.0161458333333333,0.0180311890838207,0,0,0,0,0,0,0,0.0547945205479452,0.0405960755275824,0.0542042042042042,0.0533333333333333,0.0610508882866606,0.0646218931782126,0.0655737704918033
"NGA36483","NA",0.0150384441429218,0.0137937595129376,0.0147058823529412,0.0145993179880648,0.0144927536231884,0.0170952659263589,0.0168364459535937,0,0,0,0,0,0,0,0.0601503759398496,0.0412720156555773,0.061038961038961,0.0541281007034432,0.0576923076923077,0.0687866927592955,0.0662527798369162
"NGA36491","NA",0.0149253731343284,0.0138888888888889,0.0148156277436348,0.0147058823529412,0.0145993179880648,0.0150384441429218,0.0161290322580645,0,0,0,0,0,0,0,0.0599206349206349,0.0443933823529412,0.0595238095238095,0.0612071627045384,0.0741293532338308,0.0714285714285714,0.0668493150684931
"NGA36433","NA",0.0155048076923077,0.0139866979655712,0.0147058823529412,0.0150384441429218,0.0149286987522282,0.0157490079365079,0.0218742529285202,0,0,0,0,0,0,0,0.0582779623477298,0.0400540540540541,0.0556818181818182,0.057175697865353,0.0582957306490802,0.0592702903946388,0.0627435064935065
"NGA37083","NA",0.0151515151515152,0.0138888888888889,0.0147058823529412,0.0147058823529412,0.0142857142857143,0.0142857142857143,0.0200078848807412,0,0,0,0,0,0,0,0.0558823529411765,0.0465479651162791,0.0602774735304856,0.0590017825311943,0.0626329787234042,0.0734294161123429,0.072463768115942
"NGA37094","NA",0.0151515151515152,0.0136986301369863,0.0144927536231884,0.0151515151515152,0.0144927536231884,0.0144927536231884,0.0153882575757576,0,0,0,0,0,0,0,0.0608946608946609,0.0451177845711203,0.0618781218781219,0.0690134099616858,0.0743589743589743,0.0821917808219178,0.0780663780663781
"BEN03215","NA",0.0149253731343284,0.0136060718252499,0.0143892339544513,0.0142857142857143,0.0138888888888889,0.0142857142857143,0.0151515151515152,0,0,0,0,0,0,0,0.0506978253813697,0.0375961538461538,0.0573987206823028,0.0506978253813697,0.05428245146555,0.0667567567567568,0.0602774735304856
"SSD44351","NA",0.0155048076923077,0.0143892339544513,0.0149253731343284,0.0152680652680653,0.0149286987522282,0.0157490079365079,0.0166666666666667,0,0,0,0,0,0,0,0.0689967767929089,0.0499238964992389,0.0602774735304856,0.0583908045977011,0.0691112190383681,0.0714285714285714,0.0684931506849315
"SSD44365","NA",0.0153846153846154,0.0138888888888889,0.0145993179880648,0.0148156277436348,0.0144927536231884,0.0150384441429218,0.015625,0,0,0,0,0,0,0,0.0526315789473684,0.0372807017543859,0.0549488713100521,0.0534054054054054,0.0580959164292497,0.0638984214138641,0.0588935574229692
"SSD44322","NA",0.0153846153846154,0.0137937595129376,0.0149253731343284,0.0144927536231884,0.0144927536231884,0.015625,0.025,0,0,0,0,0,0,0,0.0684931506849315,0.0476764199655766,0.0588935574229692,0.0590017825311943,0.065595340811044,0.0757767548906789,0.0672463768115942
"SSD44324","NA",0.0142857142857143,0.0136060718252499,0.0139866979655712,0.0142857142857143,0.0138888888888889,0.0153846153846154,0.0158770161290323,0,0,0,0,0,0,0,0.0540540540540541,0.0429831932773109,0.0571428571428571,0.0565865782932891,0.0583467525496511,0.0677966101694915,0.0625
"SSD44332","NA",0.0152680652680653,0.0142857142857143,0.0144927536231884,0.0151515151515152,0.0143892339544513,0.0151515151515152,0.0172465060957478,0,0,0,0,0,0,0,0.0557971014492753,0.043542199488491,0.0602774735304856,0.0625791139240506,0.0695422535211268,0.0715320910973085,0.0660598413842826
"SSD44390","NA",0.0173237753882915,0.0144927536231884,0.0149253731343284,0.0152680652680653,0.0142857142857143,0.0141851106639839,0.0151515151515152,0,0,0,0,0,0,0,0.0753947368421052,0.0527017543859649,0.0721804511278195,0.0643589743589743,0.0771672771672772,0.073771407297096,0.0704225352112676
"SSD44398","NA",0.0153846153846154,0.0138888888888889,0.0149253731343284,0.0145993179880648,0.0145993179880648,0.0155048076923077,0.0161332292479833,0,0,0,0,0,0,0,0.0600805496327884,0.0507644254479697,0.0604668674698795,0.0738536585365853,0.0746031746031746,0.0714285714285714,0.065595340811044
"SSD44396","NA",0.0144927536231884,0.0135135135135135,0.0147058823529412,0.0142857142857143,0.0142857142857143,0.0143892339544513,0.0152680652680653,0,0,0,0,0,0,0,0.0527017543859649,0.0349247606019152,0.0520164046479836,0.0542042042042042,0.0579878665318504,0.0588235294117647,0.0627435064935065
"SSD44341","NA",0.0138888888888889,0.0131578947368421,0.0134234234234234,0.0141851106639839,0.0136986301369863,0.0139866979655712,0.0142857142857143,0,0,0,0,0,0,0,0.0588235294117647,0.0395263157894737,0.0602774735304856,0.0557142857142857,0.0548706240487062,0.0572256728778468,0.0649989354907388
"SSD44338","NA",0.0145993179880648,0.0138888888888889,0.0147058823529412,0.0142857142857143,0.0142857142857143,0.0149286987522282,0.0160010240655402,0,0,0,0,0,0,0,0.0527017543859649,0.0405960755275824,0.0580562659846547,0.0534054054054054,0.0582079343365253,0.0580562659846547,0.0616346153846154
"SSD44336","NA",0.0147058823529412,0.0138888888888889,0.0147058823529412,0.0145993179880648,0.0142857142857143,0.0144927536231884,0.0153882575757576,0,0,0,0,0,0,0,0.0524675324675324,0.041725352112676,0.0540540540540541,0.0527017543859649,0.0540540540540541,0.0573109243697479,0.0615384615384615
"SSD44379","NA",0.0287784679089027,0.0272121436504998,0.0277777777777778,0.0291986359761296,0.0294117647058824,0.0358365425759521,0.0368112014453478,0,0,0,0,0,0,0,0.0769230769230769,0.0599813432835821,0.0742616033755274,0.0859663865546218,0.0882352941176471,0.0875,0.0849170975218399
"GMB47659","NA",0.0171554252199413,0.0140845070422535,0.0141908212560386,0.0141851106639839,0.0143892339544513,0.0147090633787584,0.0163978494623656,0,0,0,0,0,0,0,0.0599206349206349,0.0517094017094017,0.0612121212121212,0.0695422535211268,0.0688263229308005,0.0794285714285714,0.0658771929824561
"GMB47624","NA",0.0149253731343284,0.0140845070422535,0.0147058823529412,0.0145993179880648,0.0142857142857143,0.0141851106639839,0.0141851106639839,0,0,0,0,0,0,0,0.0513486513486513,0.0361886570672936,0.051417004048583,0.0527017543859649,0.0574933687002653,0.0588235294117647,0.0625791139240506
"GMB47660","NA",0.0155048076923077,0.0138888888888889,0.0138888888888889,0.0142857142857143,0.0142857142857143,0.0153846153846154,0.0165844298245614,0,0,0,0,0,0,0,0.0506978253813697,0.0400540540540541,0.0564185110663984,0.0574526678141136,0.0577201783723523,0.0617283950617284,0.0625791139240506
"GMB47636","NA",0.0150384441429218,0.0140845070422535,0.0143892339544513,0.0147058823529412,0.0144927536231884,0.0145993179880648,0.0153882575757576,0,0,0,0,0,0,0,0.0557971014492753,0.0434782608695652,0.0545703611457036,0.0574891774891775,0.0657731501993797,0.0719780219780219,0.0660598413842826
"GMB47657","NA",0.0144927536231884,0.0136986301369863,0.0147058823529412,0.0147058823529412,0.0144927536231884,0.0150384441429218,0.0155048076923077,0,0,0,0,0,0,0,0.0484367851151441,0.03775,0.0548706240487062,0.0534054054054054,0.0548706240487062,0.0597442680776014,0.0626602564102564
"GMB47661","NA",0.0144927536231884,0.0134234234234234,0.0138888888888889,0.0142857142857143,0.0138888888888889,0.0140845070422535,0.0142857142857143,0,0,0,0,0,0,0,0.054445750097924,0.0463577386468953,0.0571969696969697,0.0527017543859649,0.0556338028169014,0.0681598062953995,0.0625791139240506
"GMB47641","NA",0.0153846153846154,0.0140845070422535,0.0149253731343284,0.0149253731343284,0.0151515151515152,0.015625,0.0180311890838207,0,0,0,0,0,0,0,0.0542042042042042,0.0405405405405405,0.056933465085639,0.0632911392405063,0.0638297872340425,0.0681598062953995,0.0660598413842826
"GMB47628","NA",0.0147058823529412,0.0137937595129376,0.0145993179880648,0.0149253731343284,0.0143892339544513,0.0137937595129376,0.0142857142857143,0,0,0,0,0,0,0,0.0572256728778468,0.0400540540540541,0.0560240963855421,0.0533763440860215,0.0571978021978022,0.0585030269675289,0.0670422535211267
"GMB47627","NA",0.0149253731343284,0.0138888888888889,0.0147058823529412,0.0147058823529412,0.0142857142857143,0.0143892339544513,0.0157490079365079,0,0,0,0,0,0,0,0.0617283950617284,0.0460304731355253,0.0604668674698795,0.0628073770491803,0.0610508882866606,0.0617283950617284,0.0615384615384615
"GMB47643","NA",0.0153846153846154,0.0139866979655712,0.0147058823529412,0.0151515151515152,0.0151515151515152,0.0168079096045198,0.0222662048490846,0,0,0,0,0,0,0,0.0645580226225387,0.0486765922249793,0.0602774735304856,0.0698170731707317,0.0751923076923077,0.0687866927592955,0.0658771929824561
"GMB47650","NA",0.0150384441429218,0.0138888888888889,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0147058823529412,0.0157490079365079,0,0,0,0,0,0,0,0.0550293542074364,0.0447761194029851,0.0527017543859649,0.0513486513486513,0.0541281007034432,0.0580562659846547,0.0607954545454545
"ERI17451","NA",0.0148156277436348,0.0137937595129376,0.0143892339544513,0.0142857142857143,0.0136986301369863,0.0149253731343284,0.0143892339544513,0,0,0,0,0,0,0,0.0565865782932891,0.0412720156555773,0.0602774735304856,0.0540540540540541,0.0609756097560976,0.0622222222222222,0.0641858141858142
"NAM34267","NA",0.0150384441429218,0.0132456140350877,0.0139866979655712,0.0142857142857143,0.0143892339544513,0.0140845070422535,0.0136986301369863,0,0,0,0,0,0,0,0.0512820512820513,0.0303950834064969,0.052773826458037,0.051417004048583,0.0577201783723523,0.056501326801388,0.0603707136237257
