Random Generator,bet,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023,02-2024,04-2024,06-2024,08-2024,10-2024,12-2024,02-2025,04-2025,06-2025,08-2025,10-2025,12-2025,02-2026,04-2026,06-2026,08-2026,10-2026,12-2026,02-2027,04-2027,06-2027,08-2027,10-2027,12-2027,02-2028,04-2028,06-2028,08-2028,10-2028,12-2028,02-2029,04-2029,06-2029,08-2029,10-2029,12-2029,02-2030,04-2030,06-2030,08-2030,10-2030,12-2030
6884,0.0962890623079147,0.045081967213114756,0.04081632653061224,0.043824701195219126,0.0398406374501992,0.03125,0.023255813953488372,0.019455252918287938,0.011494252873563218,0.011406844106463879,0.011538461538461539,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7781,0.149032924044877,0.0648854961832061,0.0946969696969697,0.1482889733840304,0.17279411764705882,0.18613138686131386,0.19927536231884058,0.19047619047619047,0.16974169741697417,0.14869888475836432,0.13284132841328414,0.11439114391143912,0.07865168539325842,0.06343283582089553,0.04961832061068702,0.046153846153846156,0.03461538461538462,0.02681992337164751,0.018796992481203006,0.022727272727272728,0.022556390977443608,0.022556390977443608,0.022058823529411766,0.01858736059479554,0.014925373134328358,0.011320754716981131,0.007407407407407408,0.0036900369003690036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9221,0.15031790194916503,0.05058365758754864,0.04247104247104247,0.03759398496240601,0.041044776119402986,0.04059040590405904,0.04797047970479705,0.04797047970479705,0.041666666666666664,0.04924242424242424,0.04924242424242424,0.041353383458646614,0.038461538461538464,0.03543307086614173,0.027237354085603113,0.0196078431372549,0.011627906976744186,0.007633587786259542,0.00749063670411985,0.007518796992481203,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3784,0.20516190293128603,0.14335664335664336,0.2013888888888889,0.2705479452054795,0.3163265306122449,0.32653061224489793,0.35570469798657717,0.35313531353135313,0.33993399339933994,0.3202614379084967,0.2899022801302932,0.24671052631578946,0.19536423841059603,0.15,0.12416107382550336,0.08503401360544217,0.05154639175257732,0.034722222222222224,0.024054982817869417,0.020689655172413793,0.024054982817869417,0.023890784982935155,0.02040816326530612,0.020477815699658702,0.02040816326530612,0.023890784982935155,0.027210884353741496,0.05084745762711865,0.05723905723905724,0.09246575342465753,0.15017064846416384,0.28135593220338984,0.38175675675675674,0.5794701986754967,0.74,0.8648648648648649,0.934931506849315,0.90625,0.9072164948453608,0.8732876712328768,0.8221476510067114,0.785234899328859,0.6966666666666667,0.6533333333333333,0.6462585034013606,0.6201298701298701,0.6470588235294118,0.6767676767676768,0.6552901023890785,0.597972972972973,0.5833333333333334,0.5555555555555556,0.5666666666666667,0.5384615384615384,0.5286195286195287,0.5152542372881356,0.5051546391752577,0.49140893470790376,0.4513888888888889,0.4876325088339223,0.5197132616487455,0.5071942446043165,0.4727272727272727,0.4731182795698925,0.4265232974910394,0.3710247349823322,0.3920863309352518
2005,0.19020637388457498,0.23465703971119134,0.26573426573426573,0.3020833333333333,0.3472222222222222,0.3392226148409894,0.36298932384341637,0.35231316725978645,0.34296028880866425,0.3210332103321033,0.28363636363636363,0.2177121771217712,0.16605166051660517,0.1323529411764706,0.11764705882352941,0.0989010989010989,0.06521739130434782,0.05415162454873646,0.06319702602230483,0.05128205128205128,0.03717472118959108,0.029197080291970802,0.018315018315018316,0.01098901098901099,0.007246376811594203,0.0036900369003690036,0.003676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5869,0.21138460226939101,0.17966101694915254,0.2214765100671141,0.3485342019543974,0.3745819397993311,0.38,0.3519736842105263,0.32558139534883723,0.2894736842105263,0.24834437086092714,0.17763157894736842,0.12418300653594772,0.09836065573770492,0.08881578947368421,0.07333333333333333,0.05442176870748299,0.04081632653061224,0.030821917808219176,0.01730103806228374,0.00684931506849315,0.006896551724137931,0.006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4036,0.155125458573457,0.10819672131147541,0.13666666666666666,0.15841584158415842,0.17491749174917492,0.19463087248322147,0.19798657718120805,0.19322033898305085,0.20477815699658702,0.19931271477663232,0.17687074829931973,0.13513513513513514,0.11784511784511785,0.10033444816053512,0.08524590163934426,0.05519480519480519,0.04262295081967213,0.019672131147540985,0.013157894736842105,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4644,0.10148595276987199,0.02390438247011952,0.035856573705179286,0.0390625,0.042801556420233464,0.05363984674329502,0.051181102362204724,0.051181102362204724,0.05220883534136546,0.04780876494023904,0.0311284046692607,0.03501945525291829,0.034482758620689655,0.03065134099616858,0.022988505747126436,0.022988505747126436,0.022641509433962263,0.011194029850746268,0.011363636363636364,0.00749063670411985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8608,0.148787715804065,0.08992805755395683,0.15,0.1824561403508772,0.21875,0.2222222222222222,0.23890784982935154,0.23648648648648649,0.20945945945945946,0.19732441471571907,0.16279069767441862,0.12794612794612795,0.09121621621621621,0.06333333333333334,0.04666666666666667,0.04040404040404041,0.03741496598639456,0.01730103806228374,0.010344827586206896,0.007017543859649123,0.007042253521126761,0.007042253521126761,0.006968641114982578,0.0034965034965034965,0.003389830508474576,0.003355704697986577,0.003389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9925,0.11595328567200301,0.056910569105691054,0.06504065040650407,0.08536585365853659,0.0975609756097561,0.10975609756097561,0.11693548387096774,0.11904761904761904,0.11462450592885376,0.11507936507936507,0.1016260162601626,0.06995884773662552,0.052845528455284556,0.03643724696356275,0.020242914979757085,0.008064516129032258,0.0,0.0,0.003875968992248062,0.003861003861003861,0.003875968992248062,0.007633587786259542,0.007575757575757576,0.007547169811320755,0.007272727272727273,0.0072992700729927005,0.0036231884057971015,0.0036496350364963502,0.0,0.0,0.007168458781362007,0.017921146953405017,0.017605633802816902,0.014184397163120567,0.02857142857142857,0.036101083032490974,0.03296703296703297,0.03308823529411765,0.03383458646616541,0.03333333333333333,0.037037037037037035,0.05185185185185185,0.05970149253731343,0.07806691449814127,0.08518518518518518,0.11387900355871886,0.13333333333333333,0.14982578397212543,0.1853146853146853,0.2332155477031802,0.2857142857142857,0.3250883392226148,0.40070921985815605,0.46785714285714286,0.5703971119133574,0.6099290780141844,0.6749116607773852,0.7132867132867133,0.721830985915493,0.7102473498233216,0.7132616487455197,0.7065217391304348,0.7078651685393258,0.6741573033707865,0.5984848484848485,0.6325757575757576,0.6615969581749049
